iso3,overlay,entity_count,coverage_flag
FJI,telecom,0,missing
FJI,defense,0,missing
FJI,security,0,missing
FJI,finance,0,missing
FJI,critical_infra,0,missing
FJI,energy,0,missing
FJI,none,17,present
FRA,media,0,missing
FRA,tech_platform,5,present
FRA,telecom,0,missing
FRA,defense,0,missing
FRA,security,0,missing
FRA,finance,0,missing
FRA,critical_infra,0,missing
FRA,energy,0,missing
FRA,none,49,present
FSM,media,0,missing
FSM,tech_platform,0,missing
FSM,telecom,0,missing
FSM,defense,0,missing
FSM,security,0,missing
FSM,finance,0,missing
FSM,critical_infra,0,missing
FSM,energy,0,missing
FSM,none,0,missing
GAB,media,0,missing
GAB,tech_platform,1,present
GAB,telecom,0,missing
GAB,defense,3,present
GAB,security,0,missing
GAB,finance,0,missing
GAB,critical_infra,0,missing
GAB,energy,0,missing
GAB,none,8,present
GBR,media,1,present
GBR,tech_platform,2,present
GBR,telecom,0,missing
GBR,defense,0,missing
GBR,security,0,missing
GBR,finance,0,missing
GBR,critical_infra,1,present
GBR,energy,0,missing
GBR,none,33,present
GEO,media,0,missing
GEO,tech_platform,0,missing
GEO,telecom,0,missing
GEO,defense,0,missing
GEO,security,0,missing
GEO,finance,0,missing
GEO,critical_infra,0,missing
GEO,energy,0,missing
GEO,none,23,present
GHA,media,0,missing
GHA,tech_platform,1,present
GHA,telecom,0,missing
GHA,defense,0,missing
GHA,security,0,missing
GHA,finance,0,missing
GHA,critical_infra,0,missing
GHA,energy,0,missing
GHA,none,13,present
GIN,media,0,missing
GIN,tech_platform,2,present
GIN,telecom,0,missing
GIN,defense,0,missing
GIN,security,0,missing
GIN,finance,0,missing
GIN,critical_infra,0,missing
GIN,energy,0,missing
GIN,none,9,present
GMB,media,0,missing
GMB,tech_platform,1,present
GMB,telecom,0,missing
GMB,defense,0,missing
GMB,security,0,missing
GMB,finance,0,missing
GMB,critical_infra,0,missing
GMB,energy,0,missing
GMB,none,16,present
GNB,media,0,missing
GNB,tech_platform,3,present
GNB,telecom,0,missing
GNB,defense,0,missing
GNB,security,0,missing
GNB,finance,0,missing
GNB,critical_infra,0,missing
GNB,energy,0,missing
GNB,none,11,present
GNQ,media,0,missing
GNQ,tech_platform,2,present
GNQ,telecom,0,missing
GNQ,defense,0,missing
GNQ,security,0,missing
GNQ,finance,0,missing
GNQ,critical_infra,0,missing
GNQ,energy,0,missing
GNQ,none,10,present
GRC,media,0,missing
GRC,tech_platform,5,present
GRC,telecom,0,missing
GRC,defense,0,missing
GRC,security,0,missing
GRC,finance,0,missing
GRC,critical_infra,1,present
GRC,energy,0,missing
GRC,none,58,present
GRD,media,0,missing
GRD,tech_platform,0,missing
GRD,telecom,0,missing
GRD,defense,0,missing
GRD,security,0,missing
GRD,finance,0,missing
GRD,critical_infra,0,missing
GRD,energy,0,missing
GRD,none,0,missing
GTM,media,0,missing
GTM,tech_platform,2,present
GTM,telecom,0,missing
GTM,defense,0,missing
GTM,security,0,missing
GTM,finance,0,missing
GTM,critical_infra,0,missing
GTM,energy,0,missing
GTM,none,48,present
GUY,media,0,missing
GUY,tech_platform,0,missing
GUY,telecom,0,missing
GUY,defense,0,missing
GUY,security,0,missing
GUY,finance,0,missing
GUY,critical_infra,1,present
GUY,energy,0,missing
GUY,none,12,present
HND,media,0,missing
HND,tech_platform,0,missing
HND,telecom,0,missing
HND,defense,0,missing
HND,security,0,missing
HND,finance,0,missing
HND,critical_infra,0,missing
HND,energy,0,missing
HND,none,8,present
HRV,media,0,missing
HRV,tech_platform,2,present
HRV,telecom,0,missing
HRV,defense,0,missing
HRV,security,0,missing
HRV,finance,0,missing
HRV,critical_infra,0,missing
HRV,energy,0,missing
HRV,none,30,present
HTI,media,0,missing
HTI,tech_platform,5,present
HTI,telecom,0,missing
HTI,defense,0,missing
HTI,security,0,missing
HTI,finance,0,missing
HTI,critical_infra,0,missing
HTI,energy,0,missing
HTI,none,18,present
HUN,media,0,missing
HUN,tech_platform,5,present
HUN,telecom,0,missing
HUN,defense,0,missing
HUN,security,0,missing
HUN,finance,0,missing
HUN,critical_infra,0,missing
HUN,energy,0,missing
HUN,none,27,present
IDN,media,0,missing
IDN,tech_platform,0,missing
IDN,telecom,0,missing
IDN,defense,0,missing
IDN,security,0,missing
IDN,finance,0,missing
IDN,critical_infra,0,missing
IDN,energy,0,missing
IDN,none,21,present
IND,media,0,missing
IND,tech_platform,3,present
IND,telecom,0,missing
IND,defense,0,missing
IND,security,0,missing
IND,finance,0,missing
IND,critical_infra,0,missing
IND,energy,0,missing
IND,none,26,present
IRL,media,0,missing
IRL,tech_platform,2,present
IRL,telecom,0,missing
IRL,defense,0,missing
IRL,security,0,missing
IRL,finance,0,missing
IRL,critical_infra,0,missing
IRL,energy,0,missing
IRL,none,15,present
IRN,media,0,missing
IRN,tech_platform,0,missing
IRN,telecom,0,missing
IRN,defense,0,missing
IRN,security,0,missing
IRN,finance,0,missing
IRN,critical_infra,0,missing
IRN,energy,1,present
IRN,none,32,present
IRQ,media,0,missing
IRQ,tech_platform,2,present
IRQ,telecom,0,missing
IRQ,defense,0,missing
IRQ,security,0,missing
IRQ,finance,0,missing
IRQ,critical_infra,1,present
IRQ,energy,0,missing
IRQ,none,39,present
ISL,media,0,missing
ISL,tech_platform,4,present
ISL,telecom,0,missing
ISL,defense,0,missing
ISL,security,0,missing
ISL,finance,0,missing
ISL,critical_infra,0,missing
ISL,energy,0,missing
ISL,none,25,present
ISR,media,0,missing
ISR,tech_platform,2,present
ISR,telecom,0,missing
ISR,defense,0,missing
ISR,security,0,missing
ISR,finance,0,missing
ISR,critical_infra,1,present
ISR,energy,1,present
ISR,none,29,present
ITA,media,0,missing
ITA,tech_platform,6,present
ITA,telecom,0,missing
ITA,defense,0,missing
ITA,security,0,missing
ITA,finance,0,missing
ITA,critical_infra,0,missing
ITA,energy,0,missing
ITA,none,63,present
JAM,media,0,missing
JAM,tech_platform,1,present
