iso3,year,A,G,M,P,S_norm,decline_norm,risk_score,risk_band,guardrail_breach,alignment_low,tipping_zone,percolation_risk,shock_high,decline_high
CRI,2020,0.839671035256614,0.8265792866256124,0.5051501478139101,0.36572013508428425,0.16671428571428573,0.0,0.7421800601819171,high,False,False,False,False,False,False
CRI,2021,0.8362516584115305,0.822191011205542,0.5051501478139101,0.36572013508428425,0.07142857142857142,0.0,0.7326220352898053,high,False,False,False,False,False,False
CRI,2022,0.8164514552442512,0.8060466577719445,0.5051501478139101,0.36572013508428425,0.028571428571428574,0.0919067211004642,0.74870590698703,high,False,False,False,False,False,True
CRI,2023,0.8112484783967092,0.7965172496228329,0.5051501478139101,0.36572013508428425,0.028571428571428574,0.0750006102577948,0.7489330235982946,high,False,False,False,False,False,True
CRI,2024,0.5240976685514991,0.7843314702956112,0.5051501478139101,0.36572013508428425,0.028571428571428574,0.0750006102577948,0.8009538154460248,high,False,False,False,False,False,True
CRI,2025,0.5240976685514991,0.5233522708238927,0.5051501478139101,0.36572013508428425,0.19042857142857142,0.09896648824067344,0.8543995348570116,high,False,False,False,False,False,True
CRI,2026,0.5240976685514991,0.5233522708238927,0.5051501478139101,0.36572013508428425,0.19042857142857142,0.0,0.8442714189912834,high,False,False,False,False,False,False
CUB,2020,0.26217535444725326,0.28977881985742726,0.9968881282091177,0.46292957974128024,0.16671428571428573,0.0,0.932348847101236,high,True,True,True,False,False,False
CUB,2021,0.2501918964737069,0.2802132680157412,0.9968881282091177,0.46292957974128024,0.21428571428571427,0.0,0.9354407568057674,high,True,True,True,False,False,False
CUB,2022,0.23998755545949785,0.2662213730948031,0.9968881282091177,0.46292957974128024,0.16671428571428573,0.08782277079581387,0.9393088305877905,high,True,True,True,False,False,True
CUB,2023,0.24092744038708616,0.2685353374585671,0.9968881282091177,0.46292957974128024,0.19042857142857142,0.05606837305569026,0.9384810446464225,high,True,True,True,False,False,True
CUB,2024,0.5240976685514991,0.25417846396939703,0.9968881282091177,0.46292957974128024,0.16671428571428573,0.05606837305569026,0.91996527985914,high,True,False,False,False,False,True
CUB,2025,0.5240976685514991,0.5233522708238927,0.9968881282091177,0.46292957974128024,0.19042857142857142,0.036670162907649594,0.897652724873946,high,False,False,False,False,False,False
CUB,2026,0.5240976685514991,0.5233522708238927,0.9968881282091177,0.46292957974128024,0.19042857142857142,0.0,0.8949259327130025,high,False,False,False,False,False,False
CYP,2020,0.7928691769741855,0.7564432472422613,0.22514392407032832,0.4911463337909006,0.07142857142857142,0.0,0.7247900285352438,high,False,False,False,False,False,False
CYP,2021,0.7785202489110354,0.7545144503734321,0.22514392407032832,0.4911463337909006,0.05714285714285715,0.0,0.7263245333637608,high,False,False,False,False,False,False
CYP,2022,0.759019765786636,0.7228119143741834,0.22514392407032832,0.4911463337909006,0.08571428571428572,0.1339812516752094,0.7598002739440094,high,False,False,False,False,False,True
